,id,period,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_T,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND,HOW_OFT_CH_W_DAD_O,DO_PARS_DISCUSS_TV,PIAT_MATH_TOTAL_RAW_SCORE,PIAT_READ_REC_TOTAL_RAW_SCO,PIAT_READ_COMP_TOTAL_RAW_SC,PPVT_TOTAL_RAW_SCORE,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,MOM_HELPS_CH_W_NONE,CH_GET_SPEC_LESS,HOW_OFT_CH_W_DAD,DO_PARS_DISCUSS,IF_LOW_GRADES,MUSICAL_INSTMT_CH,CH_GET_SPEC_LESSO,TYPE_OF_SCHOOL_CHILD_ATTEND,HOW_LONG_DID_CHILD_ATTEND_H,CHILD_ATTENDS_PUBLIC_PRIV_R,CHILD_AGE_WHEN_1ST_ATTD_HEA,CH_ATTENDS_PUBLIC_PRIV_RELI,IS_SCHOOL_GIFTED_HANDICAPPE,OWN_A_HOME_COMPUTER,CH_GET_SPEC_LE,DO_PARS_DISCUS,MS_CH_ATTENDS_PUBLIC_PRIV_R,MS_IS_SCHOOL_GIFTED_HANDICA,SCHOOL_HOW_OFTEN_PARENTS_HE,HOW_OFT_PARENTS_HELP_WITH_H,HOW_OFT_DOES_MOM_REA,HOW_OFT_CH_EATS_W_MO,HOW_OFT_CH_TAKEN_TO,PARS_DISCUSS_TV_PRGM,MOM_HELP_MORE_W_SCHO,PARS_DISCUSS_TV_PROG,MS_TYPE_OF_SCHOOL_CHILD_ATT,MS_TYPE_OF_SCH_CHD_ATTNDS_C,TYPE_SCHOOL_CHILD_ATTENDS_V,SCHOOL_CHILD_ATTENDS_RECD,SCHOOL_CHILD_ATTENDS,DOES_CHILD_USE_ANY_COMPUTER,DOES_CHILD_NEVER_USE,MOMHGC_EVER_XRND,TYPE_OF_SCHOOL,HOW_OFTEN_PARS_HELP_R_WITH,IS_CURRENT_MOST_RECENT_SCHO,IN_SCL_YR_HOW_OFTEN_PARENTS,TOTAL_FAMILY_INCOME_FROM_AL,FAMILY_INCOME_FROM_ALL_SOUR,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,TOTAL_FAMILY_INCOME_FR_ALL,VERSION_R29_XRND,HIGHEST_GRADE_OF_REGULAR_SC,MAR_10A,MAR_10B,SAMPLE_ID,MOTHER_RACE_ENCODED,SAMPLE_SEX,WKSWK_PCY,HRSWK_PCY,HGCREV79,TNFI_TRUNC,Q2_15A,Q2_15B,HGCREV80,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,HGCREV81,HGCREV82,HGCREV83,HGCREV84,HGCREV85,HGCREV86,HGCREV87,HGCREV88,HGCREV89,HGCREV90,HGCREV91,HGCREV92,HGCREV93,HGCREV94,HGCREV96,Q2_15C,HGCREV98,HGCREV00,HGCREV02,HGCREV04,HGCREV06,HGCREV08,HGCREV10,HGCREV12,HGCREV14,HGCREV16,Q2_15A_PRE,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
10,301,-1,3.0,3.0,2.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,40.0,1440.0,,7000.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0
11,301,0,3.0,3.0,2.0,1981.0,,,,1.0,2.0,3.0,4.0,2.0,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,0.0,0.0,,9769.5,48.0,39.0,,51.0,0.0,14.0,13.0,29.0,12.0,46.0,72.0,13.0,13.0,13.0,14.0,51.0,46.0,49444.0,,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,12.0,1.0
12,301,1,3.0,3.0,2.0,1981.0,,4.25,,,,,,,0.75,,,,,,,27.0,32.0,33.0,,0.0,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,11.0,522.0,,23721.5,34.0,23.5,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,12.0,1.0
13,301,2,3.0,3.0,2.0,1981.0,4.0,,1.5,,,,,3.0,1.0,,,2.0,1.0,,,53.0,53.0,52.0,114.0,,,,,2.5,1.0,5.0,0.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,2440.0,,-2.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,12.0,12.0,,,,,,,,,,,,,,12.0,1.0
14,301,3,3.0,3.0,2.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,2.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,10.0,198.0,,43700.0,49.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,12.0,12.0,,,,,,,,,,12.0,1.0
15,302,-1,3.0,3.0,2.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,19.0,760.0,,17000.0,52.0,40.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0
16,302,0,3.0,3.0,2.0,1983.0,,,,1.0,2.0,3.0,4.0,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,11.5,230.0,,24650.0,52.0,55.0,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,12.0,1.0
17,302,1,3.0,3.0,2.0,1983.0,,4.5,,,,,,,0.0,,,,,,,38.0,42.0,39.0,91.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,19.5,1015.0,,26428.0,45.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,12.0,1.0
18,302,2,3.0,3.0,2.0,1983.0,4.0,,1.0,,,,,5.0,0.0,,,2.0,1.0,,,40.0,57.0,48.0,110.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,1.5,60.0,,54000.0,52.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,12.0,1.0
19,302,3,3.0,3.0,2.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,1.0,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,3640.0,,64000.0,49.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,,,,,,,,12.0,1.0
20,303,-1,3.0,3.0,2.0,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,23.0,460.0,,19300.0,52.0,50.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0
21,303,0,3.0,3.0,2.0,1986.0,,,,1.0,2.0,3.0,4.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,11.0,522.0,,23721.5,34.0,23.5,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,12.0,1.0
22,303,1,3.0,3.0,2.0,1986.0,,5.5,,,,,,,0.0,,,,,,,19.5,19.0,18.25,61.0,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,27.5,1280.0,,11499.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,12.0,,,,,,,,,,,,,,12.0,1.0
23,303,2,3.0,3.0,2.0,1986.0,-7.0,,3.0,,,,,3.0,-7.0,,,2.5,1.0,,,33.0,35.0,30.0,108.0,,,,,2.5,,5.0,,,1.0,,,,,,1.0,1.0,1.0,4.0,5.0,3.0,0.0,,5.0,,,5.0,1.0,1.0,1.0,,,,,,12.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,10.0,198.0,,43700.0,49.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,12.0,12.0,,,,,,,,,,12.0,1.0
24,303,3,3.0,3.0,2.0,1986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,1.0,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,0.0,0.0,,,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,12.0,1.0
25,401,-1,4.0,3.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,5.0,3.0,2.0,0.0,0.0,9.0,22390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0
26,401,0,4.0,3.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,9.0,225.0,,7093.5,48.5,66.0,,51.0,0.0,15.0,18.0,29.0,12.0,46.0,62.0,11.0,10.0,10.0,10.0,62.0,48.0,55761.0,9.0,9.0,9.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0
27,401,1,4.0,3.0,1.0,1980.0,,5.0,,,,,,,1.0,,,,,,,35.0,33.0,,97.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,42.5,1665.5,,10659.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,14.0,1.0
28,401,2,4.0,3.0,1.0,1980.0,4.0,,6.0,,,,,3.0,,,,1.0,6.0,,,42.0,56.0,49.0,112.0,,,,,6.0,1.0,1.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,1820.0,,30575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,14.0,14.0,,,,,,,,,,,,,,,14.0,1.0
29,401,3,4.0,3.0,1.0,1980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,3.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,46.0,1836.0,,53000.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,,,14.0,1.0
30,403,-1,4.0,3.0,2.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,532.0,,,,,3.0,,52.0,2392.0,,,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,14.0,1.0
31,403,0,4.0,3.0,2.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,532.0,,,,,3.0,,40.0,1280.0,,53000.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,14.0,1.0
32,403,1,4.0,3.0,2.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,532.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0
33,403,2,4.0,3.0,2.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,532.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0
34,403,3,4.0,3.0,2.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,532.0,,,,,3.0,,24.0,1152.0,,144600.0,52.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,14.0,1.0
35,801,-1,8.0,3.0,2.0,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,7.0,1.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0
36,801,0,8.0,3.0,2.0,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,7.0,1.0,0.0,0.0,0.0,0.0,,532.0,,8.0,40.0,6.0,3.0,2.0,4.0,100.0,12.0,7227.0,52.0,40.0,12.0,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0
37,801,1,8.0,3.0,2.0,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,7.0,1.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,2142.5,,24883.0,42.5,40.0,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0
38,801,2,8.0,3.0,2.0,1976.0,4.0,4.0,6.0,,,,,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,52.0,63.0,63.0,110.0,0.0,,,,6.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,7.0,1.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,26.0,999.0,,-2.0,-3.0,-3.0,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,14.0,2.0
39,801,3,8.0,3.0,2.0,1976.0,2.0,,6.0,,,,,3.0,,,,2.0,6.0,,,55.0,67.0,61.0,149.0,,,,,6.0,1.0,4.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,14.0,2.0,,,,,,7.0,1.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,2024.0,,18000.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,14.0,2.0
40,802,-1,8.0,3.0,1.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0
41,802,0,8.0,3.0,1.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,8.0,40.0,6.0,3.0,2.0,51.5,1565.5,12.0,24703.0,52.0,47.5,12.0,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0
42,802,1,8.0,3.0,1.0,1979.0,4.0,3.5,2.0,,,,,,0.0,0.0,3.0,3.0,1.0,3.0,1.0,40.0,28.75,27.75,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,25.5,1116.5,,29000.0,39.0,55.0,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,14.0,2.0
43,802,2,8.0,3.0,1.0,1979.0,3.5,,6.0,,,,,2.5,,,,2.5,2.0,,,56.0,62.0,52.5,110.5,,,,,3.0,1.0,3.5,0.0,0.5,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,2080.0,,26480.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,14.0,2.0
44,802,3,8.0,3.0,1.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,1.0,,,,,6.0,0.0,0.0,0.0,0.0,0.0,,532.0,,,,,3.0,,52.0,2496.0,,27500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,12.0,,,,,,,,,,,14.0,2.0
